Filename,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Island Area Change,Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Maximum Kurtosis,Maximum Median Skewness,Maximum Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Flow Direction,Flow Directional Spread,stab_conc_uM,stab_name,mt_conc_uM,actin_conc_uM,channel,trial,time_PT,spatial_x,spatial_y
5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-3_PT-6_tile_1_1.tif,0,0,0.882047564036014,1.3640421259039417,-1.4644849991544429,-0.0916614356345726,-0.36246689914051494,1.3637030710251599,-0.9319110084692627,-0.6395958369992324,-1.2502086821978209,0.3688122011778862,0.11701524601661464,-0.019463928634239402,0.027535590456308986,-0.5496783606049715,0.34525484522588046,0.050889795693496595,0.7768724532401372,5.0,TX,3.19,2.62,2,3,6,1,1
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_0_0.tif,0,0,0.882047564036014,0.6649482600778834,-0.2602505869851186,-0.2809662443183177,0.3652289310129783,0.7292673247712849,-0.9014023414048679,0.10061472866305632,-0.9311210325142586,0.34216809312610025,-0.3912985202825863,0.08999100741726494,0.05922613206250653,0.49060153729731615,-1.4820927713658747,1.0848275952873312,-0.5472231538905974,0.5,TX,3.19,2.62,2,1,1,0,0
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_0_1.tif,0,0,0.882047564036014,0.5652067395382853,-0.22637419319591903,-0.367496467199842,0.39146284372970913,0.6382804367660526,-0.8076971497070837,-0.42870100418774026,-0.7440507558778474,0.35243958696712213,0.04228779700620609,-0.16812575417743053,0.0452179012782173,0.2764492352905178,-1.379610064741076,0.42497487758122243,-0.3570325335596618,0.5,TX,3.19,2.62,2,1,1,0,1
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_1_0.tif,0,0,0.882047564036014,0.38314298083017007,0.08136883237569857,-0.44920610917111486,-0.19536876651787846,0.4288622461670534,-0.4110844778699511,0.34866854342853976,-0.7715345067145681,0.3242703403724121,0.4704339900316451,-1.1191197483840603,-0.041818839727839625,0.4601250995683351,-1.5230135306606079,0.7921237201212461,-0.47750490393707445,0.5,TX,3.19,2.62,2,1,1,1,0
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_1_1.tif,0,0,0.882047564036014,0.613206539849709,-0.3818681386344673,-0.14687434444007189,-0.5105492786078782,0.5997099081551389,0.12717557676615754,8.580897345375934,-1.2785969392856917,0.31461554306793615,-3.5266452152330867,0.7128743379877351,0.06777035758318843,0.588107936841526,-1.1396880073695497,0.6896848211286655,-0.8444037580551542,0.5,TX,3.19,2.62,2,1,1,1,1
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_0_0.tif,0,0,0.882047564036014,0.5711421987165796,-0.19833855695658145,-0.02798534588882924,-0.7991440579576303,0.5554526990438983,-0.5614486226873255,-0.4982306402361508,-0.7698420239742673,0.3457718065162503,-0.040442756692781946,-0.4623441848360865,0.05681618674969318,-0.2573094465988303,0.1392128912917598,0.3272762164673114,-0.2645434385849923,0.5,TX,3.19,2.62,2,1,2,0,0
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_0_1.tif,0,0,0.882047564036014,0.5364326656956845,-0.25311188331306506,-0.033305862490496996,-0.10046139192679893,0.48523455721377334,-0.2302116659881818,-0.24986732789481694,-0.7795881998933858,0.35609426340681855,0.3659694766935877,0.2610504560890408,0.053634144669140474,-0.22361430342794583,0.2058449093276514,-0.3719750491716344,-0.46576376267936215,0.5,TX,3.19,2.62,2,1,2,0,1
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_1_0.tif,0,0,0.882047564036014,0.36159468337853634,0.013356455572861105,0.4993959244559112,-0.8360556157907421,0.07084862162472642,1.3191927827821552,1.8967615214498836,-0.8445695544348912,0.2720277502940592,3.870415766397247,-1.8249598082067664,-0.012552159944096515,-0.14624574880139127,0.291418785523156,-0.19736885457060646,-0.29530907254225514,0.5,TX,3.19,2.62,2,1,2,1,0
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_1_1.tif,0,0,0.882047564036014,0.5769486261736066,-0.17990772202146138,-0.005786285238798606,0.5432383870125892,0.5191073932374604,-0.21277814195138475,7.767232032263721,-0.9532021922865596,0.3249523873396824,-14.473009343665838,1.367207970705646,0.07558129120338468,0.04327181189924197,0.3294596820393564,-0.2617846116968568,-0.61755997492314,0.5,TX,3.19,2.62,2,1,2,1,1
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-3_tile_0_0.tif,0,0,0.882047564036014,0.529464952747252,-0.22079302487049535,-0.31939271564274907,-0.9018549071157794,0.6316047683526252,-0.894864769891069,-0.4107462064260642,-0.7555934931308582,0.3443939425228666,0.05894176272777049,0.03074777749163872,-0.011727894377317317,-0.31327649000034863,0.4278076203235792,0.16228884578707184,-0.5125476419674808,0.5,TX,3.19,2.62,2,1,3,0,0
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-3_tile_0_1.tif,0,0,0.882047564036014,0.5008199106259185,-0.2586930516384887,-0.1805155601549432,-0.1481994151096472,0.5114427369109327,-0.5854197182379215,-0.0010562786987304087,-0.8192795739091421,0.3436025092279796,0.3381287932505317,-0.47163880673716024,0.01009739956415289,-0.24384660389006535,0.25720354971832043,-0.16598316879847796,-0.441996016878777,0.5,TX,3.19,2.62,2,1,3,0,1
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-3_tile_1_0.tif,0,0,0.882047564036014,0.2450790390741933,0.1095342632272553,-0.2783431902064139,-0.4144672496547765,0.24639397620003867,-0.3958301443377537,2.5509241852440327,-1.1948661444679523,0.2664257413205712,1.4014451338026226,-0.9263704985718539,0.008922702508665952,-0.2437403016867326,0.3004519085451559,-0.12698339936118697,-0.3030331356895448,0.5,TX,3.19,2.62,2,1,3,1,0
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-3_tile_1_1.tif,0,0,0.882047564036014,0.6022388435419912,-0.24843927727317544,0.08896439340113346,-0.1987998325444583,0.506745044323706,-0.32173766718136626,-0.0750355967462509,-0.7466494992940452,0.3925139133170971,-0.9846461211155562,-0.3254774884763998,0.05230362796787084,0.0042859781114163486,0.21827787472029775,-0.23866450869617137,-0.7943241304429506,0.5,TX,3.19,2.62,2,1,3,1,1
