File,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Average Island Area Change,Average Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Max Kurtosis,Max Median Skewness,Max Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Direction,Mean Direction Standard Deviation
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-23.tif,0,0,0.0,0.021487801535087718,0.8554022752192982,0.4400993897276704,0.9980052720003054,0.019427083333333334,0.0065268640350877195,26.533403698591663,1.12904941518977,0.43434421460351114,1.4431708282705955,-0.21669082650686167,-0.06877867732545029,4.14914,-2.893747,0.07608633,1.7114264
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-22.tif,0,0,0.0,0.008599232456140351,0.8668482730263158,1.05695305191768,1.0031593784766641,0.005860745614035088,0.0038404605263157895,9.312089231171075,1.046241682716309,0.4038863564060292,1.6752694588746753,-0.21461908589717493,-0.060019406719430624,3.8631072,-1.6192715,-0.21054967,1.8024861
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-20.tif,0,0,0.0,0.013504660087719297,0.8665892269736842,1.3384676684881605,0.9792399949586593,0.006270559210526316,0.004960252192982456,15.760197314883131,0.8985720263448489,0.3524834456707525,1.0716436415465385,-0.08941389726340554,-0.001996556821242612,4.4855824,-2.0781503,0.37689373,1.7038907
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-21.tif,0,0,0.0,0.007579495614035088,0.8762856359649123,1.1477122890295357,0.9997244829764808,0.004331140350877193,0.002700109649122807,9.606033878599042,0.9639013384137214,0.36260426568267656,0.776161285249124,-0.21760511871514465,-0.0908100337078169,3.917305,-1.0606701,0.17162046,1.7384765
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-19.tif,0,0,0.0,0.011482319078947369,0.9104358552631578,0.9430610636567013,0.9950322889898542,0.008985745614035088,0.007645285087719298,25.748640592286733,0.7115957016058923,0.26338683389438566,0.2602908145215501,-0.04222043878813053,0.005230521462288695,3.796916,1.396708,-0.15098564,1.8850648
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-25.tif,0,0,0.0,0.05539610745614035,0.9129248903508772,0.9577303104179015,0.9979240287170739,0.05087993421052631,0.006117050438596491,55.65555610842897,0.6458387083970673,0.24078993434403176,11.78010136614673,-0.059766721363704534,-0.016630306905170533,3.807889,-0.065825224,-0.42168158,1.7702576
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-24.tif,0,0,0.0,0.0077912554824561405,0.8711821546052632,1.1581500646830531,0.991125134303163,0.005297423245614035,0.004721765350877193,36.522142094168075,0.936180238289392,0.35068985979619216,-5.561119813002833,-0.15535696556712209,-0.05047969382480544,4.693608,-2.04834,0.4345793,1.6227273
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-30.tif,0,0,0.0,0.050295367324561406,0.8459052905701754,1.2429173832680978,0.9693585337915235,0.023111293859649124,0.006509046052631579,121.97570375682879,0.92052839250945,0.49877154262748935,-16.876579411547212,0.05575171179375693,0.10802215704472012,5.3122787,-2.1030939,0.18310001,1.5630636
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-18.tif,0,0,0.0,0.010962856359649123,0.8523800712719298,1.1120315556021236,0.9935562161348586,0.006540570175438597,0.004069353070175438,39.75599795332844,1.059018353943452,0.4161846572929335,18.329858462994977,-0.2236653039650205,-0.07259382796002606,4.406787,-1.4557357,0.22232692,1.6482964
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-26.tif,0,0,0.0,0.0672546600877193,0.9089055646929824,0.904996295120144,1.0079297215955891,0.06474095394736842,0.0045408442982456144,32.487955597893944,0.7438280893123435,0.2991151248630557,2.3114158411111703,-0.06352768105568207,1.459201377014752,2.6260533,-1.1834226,0.23804139,1.7876244
/Users/devoncallan/Desktop/Dataset 4/Cyan C2/Cyan C2-8.tif,0,0,0.0,0.007209429824561403,0.861048519736842,1.3984341017833841,0.9994904056942483,0.0031510416666666666,0.0028728070175438594,11.110695242052554,1.0499536756021117,0.40206513403658617,2.0838829798758125,-0.1636551050005739,-0.06125144332175647,4.2460036,-0.7748451,-0.6084475,1.8781143
