File,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Average Island Area Change,Average Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Max Kurtosis,Max Median Skewness,Max Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Direction,Mean Direction Standard Deviation
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-11.tif,0,0,0.0,0.1511513157894737,0.7838630756578947,0.8234359436621789,1.263474455974768,0.12430235745614035,0.08225054824561404,140.10139046205748,0.35926454894239374,1.0690991660181357,-11.073323008229075,-0.02320744630991048,-0.4285835831751581,2.9658813,-1.2044826,-0.7999437,1.7340419
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-10.tif,0,0,0.0,0.1320799067982456,0.7804564144736842,2.0582075678040246,1.1239767553576114,0.03133223684210526,0.02232456140350877,44.762078858353945,0.6316026752006709,0.9519475716831082,21.752329088912212,-0.2497568041201811,-0.5344306239126619,2.8443267,-2.1785998,-0.16629852,1.7947073
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-12.tif,0,0,0.0,0.12547834429824561,0.8339179002192982,0.5783165135015591,0.9745620700068932,0.12498218201754387,0.03618009868421052,111.3295187469562,0.8759881474416873,0.33197750936106807,-60.760483659881686,-0.5825029184632202,-0.20693173016729552,2.8468506,-2.157713,-0.6230538,1.8606299
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-13.tif,0,0,0.0,0.0426343201754386,0.8562760416666667,0.574563469905307,1.0434785927738464,0.03927357456140351,0.03449972587719298,540.846712950574,1.0260044490124973,0.4043566963555468,368.4863519352277,-0.6252108980012869,-0.25662194330958366,3.3703594,-1.1916497,-0.25620928,1.8707484
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-17.tif,0,0,0.0625,0.11985882675438596,0.783915158991228,1.9208160925967346,1.136507398038214,0.036768092105263155,0.02086622807017544,92.72836838016747,0.3148358755790345,0.5435128710233299,-49.49325040538914,-0.07916580646458224,-0.09901119737920161,2.4104972,-1.5688072,-0.24178267,1.7564673
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-16.tif,0,0,0.0,0.059891036184210523,0.7919743695175439,0.8279362783029977,1.132586635690738,0.04073876096491228,0.023977521929824563,6.729760652196706,0.8508872356638382,0.9129534834535209,4.274480558786458,-0.4017620788750956,-0.5798292307310131,2.801427,-2.1217725,-0.06321237,1.6576496
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-14.tif,0,0,0.0,0.05692982456140351,0.781600191885965,1.6793991699158881,1.1298074710446309,0.018630756578947368,0.015866228070175438,3.0911986682341346,0.8283563750057079,0.9369322550477246,0.8827665135269323,-0.39472584706611274,-0.6429692861152426,3.0909052,-1.1301322,-0.8108156,1.7456278
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-28.tif,0,0,0.0,0.10216214364035088,0.7568222313596491,2.3010942216472614,1.082312494187271,0.026487116228070175,0.015512609649122806,2.72312627032836,0.9859311172945008,0.8575280356288464,1.916794297702487,-0.6058532286244072,-0.511970280144341,2.7357142,-2.4955297,-0.27517727,1.8734474
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-9.tif,0,0,0.0,0.09738623903508772,0.7692831688596491,1.5079171117384502,1.1165926842620852,0.03592790570175439,0.022639802631578946,829.7355837162706,0.7135805990686204,0.7487126601310543,478.764518758725,-0.3123680312584152,-0.4703121529716925,2.8017247,-2.405842,0.3616967,1.7305112
/Users/devoncallan/Desktop/Dataset 4/Cyan C1/Cyan C1-8.tif,0,0,0.0,0.07981016995614035,0.7723841831140351,1.4251753848643152,1.1239342019729164,0.029647752192982456,0.019244791666666667,18.066625886175405,0.8634556730218512,0.8964147770713866,7.7728247048722565,-0.3030024682733722,-0.502964529540971,3.0662556,-1.037766,-0.6886373,1.9788167
