File,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Average Island Area Change,Average Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Max Kurtosis,Max Median Skewness,Max Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Direction,Mean Direction Standard Deviation
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-35.tif,0,0,0.518796992481203,0.28699336231203004,0.6831859923245615,2.1621765246075695,0.8390239835378206,0.09628367794486216,0.04449698464912281,24.11735596030573,1.3173468442654288,0.6273006613033899,-2.453665707115639,-1.0149732483832654,-0.49067733723595897,4.6315656,-2.3978374,0.4520296,1.8273304
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-21.tif,0,0,0.6015037593984962,0.28722685620300753,0.6735740718984962,2.6931375233718144,0.8050622167530336,0.06341145833333334,0.04390370457393484,12.149989728545641,1.2538353715440194,0.6021006022286847,-0.4726992571065489,-0.9413655079364401,-0.49712424511765596,4.3113174,-3.175793,-0.074876636,1.6924855
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-20.tif,0,0,0.15037593984962405,0.2507234884085213,0.6544652647243108,2.337562348089528,0.8933227126169757,0.07156954887218045,0.030294486215538846,146.02277453652553,1.3285916657659727,0.7069383543118404,73.35131683894458,-0.9748511341554966,-0.4967823407234113,4.0981045,-1.7494636,-0.068448745,1.8279312
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-34.tif,0,0,0.7142857142857143,0.2703942473370927,0.6597240170739348,1.557618392074299,0.912254396937865,0.1115767935463659,0.04067101347117794,5.427922521115161,1.3751709722344951,0.6651931762714267,1.897536819003224,-0.9648920168748563,-0.48654306607216763,4.3568816,-1.8190317,0.35941517,1.7328582
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-22.tif,0,0,0.06015037593984962,0.2014533403822055,0.670304178414787,1.9616083938969806,0.9740593975227628,0.06770148026315789,0.042113095238095234,171.24413760120208,1.226568528991167,0.7590008735002175,120.18298030120066,-0.738699731560452,-0.5107169465681077,4.165603,-2.2654061,0.23931278,1.7935072
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-36.tif,0,0,0.015037593984962405,0.15749627976190475,0.7291774357769424,1.335981647105762,0.9379605373606045,0.07748864348370928,0.03786517073934837,26.032609895908593,1.0805312101492526,0.4459262203408932,13.995365497290733,-0.6021410286551321,-0.1832859308907503,4.0540233,-1.203217,0.28544137,1.8885165
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-37.tif,0,0,0.5112781954887218,0.22827429902882207,0.6812353148496241,1.994419303084059,0.8641230961157997,0.08022595551378446,0.05216361215538847,36.846444213856735,1.308811159443591,0.6241586903041204,26.202584245322782,-0.8650445013100042,-0.3597094935044573,4.778278,-1.805131,0.66783965,1.7689443
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-23.tif,0,0,0.5413533834586466,0.19222617089598998,0.6492985393170426,1.92832039327377,0.9543284367360412,0.06603422619047619,0.05417156171679198,130.35066145528052,1.232332428928899,0.7909250346976825,86.83806154824053,-0.788259235193657,-0.5925228076107983,4.281479,-2.1497262,-0.13570675,1.6821388
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-27.tif,0,0,0.39097744360902253,0.23761454417293232,0.6423578477443609,2.7147461613778794,0.886918176566784,0.06004562186716792,0.03661105889724311,77.2694845002688,1.3478880225578858,0.7216949598248066,48.46145206476162,-0.9050800521389784,-0.5590869733294406,4.2499204,-2.8636851,0.3358309,1.7609928
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-33.tif,0,0,0.37593984962406013,0.2168184132205514,0.6581032659774436,1.9493067990917314,0.9447484952226985,0.07257009711779448,0.048208411654135336,13.814682433152237,1.2854212226971728,0.7165534734411415,8.271227143079477,-0.8743517796010871,-0.47968459458231316,4.326404,-1.9668405,0.33477926,1.7011993
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-9.tif,0,0,0.11278195488721804,0.27097431077694234,0.627413749216792,1.8974554419271357,0.9868400220502714,0.08828516604010025,0.05861528822055138,14.931820442146806,1.1396045002031874,0.8251909384706503,10.027532788419268,-0.7460933993749421,-0.5957093091572804,4.4365983,-1.3731928,-0.6740052,1.9199314
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-8.tif,0,0,0.03759398496240601,0.19916392543859648,0.6674136513157894,1.8419908912646694,0.9725573320926364,0.06532542293233082,0.04556606359649123,22.13065680142432,1.1849370509672743,0.7101995245448661,-5.049283135409922,-0.7148332548496252,-0.4191480272972976,4.1923513,-2.2030437,0.3317347,1.6552474
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-32.tif,0,0,0.09774436090225563,0.1728158286340852,0.6903048637218044,1.5926648298388566,0.9190744348460468,0.07016760651629073,0.03678238565162908,166.7168339278518,1.3020828454913331,0.6311217102106965,129.88161353947487,-0.8357085210647917,-0.3643326804579251,4.234654,-1.9974368,0.3407226,1.6960733
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-26.tif,0,0,0.2857142857142857,0.2376184602130326,0.6314957315162908,2.4131489057560174,0.9164299883618968,0.0705063439849624,0.04078164160401003,8.604272806231986,1.2101789382272437,0.8002859660659327,2.177504384377976,-0.7558616550763297,-0.5627541508073822,4.235211,-1.8599248,0.27098125,1.8472061
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-18.tif,0,0,0.2857142857142857,0.18452968358395988,0.6683089559837092,1.1409140195272074,1.2279639339575907,0.10430862312030076,0.054653234649122806,84.37987515822907,1.3629536921649843,0.6484521865797389,58.120804026483064,-0.8061870604846941,-0.3598530630667733,4.0100646,-2.0477383,0.105784036,1.7592161
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-30.tif,0,0,0.43609022556390975,0.16755022321428573,0.6577087249373433,1.0686628523661055,1.0771679032562567,0.09467908051378447,0.035567434210526314,40.362300993347105,1.2617276912967992,0.78708501933329,31.131707190014307,-0.8260936101087941,-0.5456139269245414,4.34778,-2.5971537,0.16532116,1.661647
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-24.tif,0,0,0.0,0.19015409617794485,0.6792322603383459,1.5542605651703427,0.9692511708173495,0.07094885651629072,0.049337210213032584,293.16654146407024,1.346334273257386,0.6952681305429191,255.7184207184713,-0.8531165883645091,-0.4646133257910693,4.43293,-2.2023482,0.1641759,1.7588658
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-25.tif,0,0,0.11278195488721804,0.19855057565789475,0.66039023339599,1.4935815876704743,0.9556342978545481,0.09480635181704261,0.047002271303258146,95.95352122087554,1.4181602767357635,0.6761585041508825,50.77720198844624,-0.9046629674251991,-0.39218994174556643,4.4775534,-0.92826176,-0.17617486,1.795559
/Users/devoncallan/Desktop/Dataset 4/Yellow C1/Yellow C1-31.tif,0,0,0.13533834586466165,0.17527852835213034,0.6661321271929824,1.1667451637295292,1.0029419530987476,0.0917890429197995,0.04754366384711779,20.29618424579816,1.336560307705728,0.6948576800752044,9.63763379073956,-0.8226016868831778,-0.41757107406424676,4.1259556,-2.1575234,-0.055103008,1.7273312
