Filename,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Island Area Change,Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Maximum Kurtosis,Maximum Median Skewness,Maximum Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Flow Direction,Flow Directional Spread
5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-3_PT-6_tile_1_1.tif,0,0,1.0,0.710540771484375,0.091949462890625,1.0112939269126282,0.9556197478991597,0.69647216796875,0.0013427734375,15.656694725784371,0.4687117056622509,0.6561767390409351,2.5127636705001404,0.0069844787137441355,0.0060151730441787565,0.028087158,0.0022481196,0.08746635,1.8143339
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_0_0.tif,0,0,1.0,0.545196533203125,0.375091552734375,0.975996325607688,1.1151492287055667,0.53985595703125,0.002197265625,72.08077213799085,0.5345088339632768,0.597048452321271,-14.40922143866316,0.011148439864860915,0.04607985275773924,0.07392507,-0.1261555,0.8166133,1.1584628
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_0_1.tif,0,0,1.0,0.5216064453125,0.383056640625,0.9598619794738704,1.1209003712871286,0.51739501953125,0.00482177734375,31.732588430088754,0.5730834607323191,0.6198428289125526,0.025054575768347576,0.001328981679561303,0.028369985671831577,0.064488865,-0.11895427,0.35127622,1.2526709
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_1_0.tif,0,0,1.0,0.478546142578125,0.455413818359375,0.9446264744429882,0.9922519192493603,0.4656982421875,0.01593017578125,90.9891859002261,0.5674162032192487,0.5573299729336004,14.278226500797174,-0.03484939628740824,-0.08166597379683965,0.072582185,-0.12903091,0.61019456,1.1929967
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-1_tile_1_1.tif,0,0,1.0,0.532958984375,0.34649658203125,1.0009989784881625,0.9231563145055357,0.50787353515625,0.031005859375,718.5078093077117,0.4628579354028708,0.5359041619389244,-118.78626884836683,0.03484460272181261,0.056881866277748105,0.0782215,-0.102095485,0.53795326,1.0112588
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_0_0.tif,0,0,1.0,0.52301025390625,0.3896484375,1.0231669123065585,0.8598889802631579,0.4969482421875,0.01171875,26.432548483579883,0.5677651998166453,0.6050457700837623,-2.729081335127031,-0.009863881423741061,0.04303308605097589,0.040969826,-0.0122299865,0.2823778,1.298484
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_0_1.tif,0,0,1.0,0.514801025390625,0.37677001953125,1.0221748536523287,1.0130580357142858,0.4796142578125,0.02099609375,45.36455433702374,0.565755500011496,0.6279532432665991,10.800557674291152,0.017656002926846215,0.03901019813771012,0.042454537,-0.007547904,-0.21074367,1.1988125
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_1_0.tif,0,0,1.0,0.47344970703125,0.439422607421875,1.1215019411193787,0.8517970256127788,0.3773193359375,0.06439208984375,208.995766845224,0.5523560891405896,0.4413938402949376,127.46509021681875,-0.061701456998683124,-0.04466565469892647,0.045863632,-0.0015348196,-0.087609015,1.2832447
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-2_tile_1_1.tif,0,0,1.0,0.524383544921875,0.39398193359375,1.027306128830519,1.154173440357651,0.48797607421875,0.021484375,656.4844922349631,0.5299556119754801,0.5588435634264274,-483.1954646280199,0.05973721994671721,0.06675681753752227,0.054214355,0.0011382289,-0.13303588,1.1236225
0.5uM_TX_3.19uM-MT_2.62uM-A_C=2_trial-1_PT-3_tile_0_0.tif,0,0,1.0,0.513153076171875,0.384368896484375,0.9688313609467456,0.8373721431996164,0.5157470703125,0.00238037109375,33.10122992998262,0.570703302914445,0.6019880307478032,0.5794722969341883,0.008894667520040311,-0.043623579232299925,0.038503747,0.008048918,0.16602647,1.1756388
